# format: artist|title|album|year|listen_url
# Scraped from 17 playlists - 578 songs
Fritz Kreisler|Liebesleid (Love's Sorrow)|See||https://open.spotify.com/track/38EmZT3oWA6lJE0o4ajfG8
Camille Saint-Saëns|Introduction and Rondo capriccioso in A minor, Op. 28|See||https://open.spotify.com/track/3leTyhTguxLryLUoRaxQ19
SPECIAL OTHERS ACOUSTIC|WOLF|See||https://open.spotify.com/track/2xsyDwq9ZYm9kKYZF8gD4P
Johan Åhlén|Chopin: Etude Op. 25 No. 11 in a Minor (Winter Wind)|See||https://open.spotify.com/track/6FOphUP2w3uGA9ZMN201Xc
Rita Payés|A Rita|See||https://open.spotify.com/track/19NIjFhiWnEjv7CzjTmBbL
Frédéric Chopin|Ballade No. 1 in G Minor, Op. 23|See||https://open.spotify.com/track/3XnR6bll287JuNE1hYVZRG
Frédéric Chopin|Étude in C-Sharp Minor, Op. 10, No. 4|See||https://open.spotify.com/track/1j4hpprZEOZ0yHfxwM8O8I
Claude Debussy|Clair De Lune|See||https://open.spotify.com/track/405HNEYKGDifuMcAZvqrqA
Chet Baker|There Will Never Be Another You - Vocal Version|See||https://open.spotify.com/track/2zPANzQTt5Nbkg0eBPb7HI
Ella Fitzgerald|Misty|See||https://open.spotify.com/track/4kF394GKEnI13QdZBM9mxM
Ella Fitzgerald|Summertime|See||https://open.spotify.com/track/2gNjmvuQiEd2z9SqyYi8HH
Chet Baker|Just Friends|See||https://open.spotify.com/track/7nFWZG3BdJekIElGe6cQAV
Chet Baker|I Fall in Love Too Easily|See||https://open.spotify.com/track/7tFN6qGRZdXCLqSJzOEG7l
Audrey Hepburn|Moon River|See||https://open.spotify.com/track/2EOo6tJpZIgmVQHmUv1dtg
Frédéric Chopin|Chopin: Piano Sonata No. 2 in B-Flat Minor, Op. 35 "Funeral March": III. Marche funèbre. Lento|See||https://open.spotify.com/track/6JoT2QRzUZ8IpkamI6WkeN
Dion|The Wanderer|See||https://open.spotify.com/track/4EoUALVwY4i7U6uKRhk8hr
Skeeter Davis|The End of the World|See||https://open.spotify.com/track/5DTOOkooKFUvWj1XQTFa09
SPECIAL OTHERS ACOUSTIC|My Home Town|See||https://open.spotify.com/track/116SIVu5jD36w8fZbnavPV
Frédéric Chopin|Fantaisie-impromptu in C-Sharp Minor, Op. 66|See||https://open.spotify.com/track/1eCFAUlLEfLedgjIlwgXXB
Mark Soskin|17|See||https://open.spotify.com/track/26IJ8aSyurthaJZ1uxYz3L
Sergei Rachmaninoff|Rachmaninov: 13 Preludes, Op. 32: No. 10 in B Minor|See||https://open.spotify.com/track/147GiDi2qBfFoL1gHEMrfO
